issue_id;url;code_seq_with_all_codes;code_seq_abbreviated;code_seq_with_selected_codes;stage_seq_with_selected_codes;n_code_seq_all_codes;n_code_seq_selected_codes;n_stage_seq_selected_codes
1778644;https://bugzilla.mozilla.org/show_bug.cgi?id=1778644;PROBLEM_CAUSE_IDENTIFICATION,POTENTIAL_SOLUTION_DESIGN,CODE_IMPLEMENTATION,CODE_REVIEW;PRB_CUS_IDN,POT_SOL_DES,COD_IMP,COD_REV;PRB_CUS_IDN,POT_SOL_DES,COD_IMP,COD_REV;ISU_ANLYS,SOL_DES,IMPL,CR;4;4;4
1774026;https://bugzilla.mozilla.org/show_bug.cgi?id=1774026;CODE_IMPLEMENTATION,CODE_REVIEW,SOLUTION_REVIEW,SOLUTION_VERIFICATION,SOLUTION_VERIFICATION;COD_IMP,COD_REV,SOL_REV,SOL_VER,SOL_VER;COD_IMP,COD_REV,SOL_REV,SOL_VER,SOL_VER;IMPL,CR,SOL_DES,VER;5;5;4
1769748;https://bugzilla.mozilla.org/show_bug.cgi?id=1769748;PROBLEM_REVIEW,PROBLEM_REVIEW,PROBLEM_REVIEW,PROBLEM_REVIEW_REQUEST,PROBLEM_REVIEW,CODE_IMPLEMENTATION,CODE_REVIEW;PRB_REV,PRB_REV,PRB_REV,PRB_REV_REQ,PRB_REV,COD_IMP,COD_REV;PRB_REV,PRB_REV,PRB_REV,PRB_REV,COD_IMP,COD_REV;ISU_ANLYS,IMPL,CR;7;7;3
1769254;https://bugzilla.mozilla.org/show_bug.cgi?id=1769254;PROBLEM_CAUSE_IDENTIFICATION,REPRODUCTION_ATTEMPT,PROBLEM_LOCALIZATION,PROBLEM_REVIEW,PROBLEM_REVIEW,PROBLEM_LOCALIZATION,REPRODUCTION_ATTEMPT,PROBLEM_CAUSE_IDENTIFICATION,PROBLEM_REVIEW,REPRODUCTION_ATTEMPT,REPRODUCTION_ATTEMPT,REPRODUCTION_ATTEMPT,PROBLEM_REVIEW_REQUEST,REPRODUCTION_ATTEMPT,CODE_IMPLEMENTATION,CODE_REVIEW,SOLUTION_VERIFICATION,CODE_IMPLEMENTATION,CODE_REVIEW,SOLUTION_VERIFICATION;PRB_CUS_IDN,REP_ATT,PRB_LOC,PRB_REV,PRB_REV,PRB_LOC,REP_ATT,PRB_CUS_IDN,PRB_REV,REP_ATT,REP_ATT,REP_ATT,PRB_REV_REQ,REP_ATT,COD_IMP,COD_REV,SOL_VER,COD_IMP,COD_REV,SOL_VER;PRB_CUS_IDN,REP_ATT,PRB_LOC,PRB_REV,PRB_REV,PRB_LOC,REP_ATT,PRB_CUS_IDN,PRB_REV,REP_ATT,REP_ATT,REP_ATT,REP_ATT,COD_IMP,COD_REV,SOL_VER,COD_IMP,COD_REV,SOL_VER;ISU_ANLYS,ISU_REP,ISU_ANLYS,ISU_REP,ISU_ANLYS,ISU_REP,IMPL,CR,VER,IMPL,CR,VER;20;20;12
1769085;https://bugzilla.mozilla.org/show_bug.cgi?id=1769085;PROBLEM_CAUSE_IDENTIFICATION,POTENTIAL_SOLUTION_DESIGN,CODE_IMPLEMENTATION,CODE_REVIEW;PRB_CUS_IDN,POT_SOL_DES,COD_IMP,COD_REV;PRB_CUS_IDN,POT_SOL_DES,COD_IMP,COD_REV;ISU_ANLYS,SOL_DES,IMPL,CR;4;4;4
1768744;https://bugzilla.mozilla.org/show_bug.cgi?id=1768744;CODE_IMPLEMENTATION,CODE_REVIEW;COD_IMP,COD_REV;COD_IMP,COD_REV;IMPL,CR;2;2;2
1764716;https://bugzilla.mozilla.org/show_bug.cgi?id=1764716;CODE_IMPLEMENTATION,CODE_REVIEW,SOLUTION_VERIFICATION,SOLUTION_VERIFICATION;COD_IMP,COD_REV,SOL_VER,SOL_VER;COD_IMP,COD_REV,SOL_VER,SOL_VER;IMPL,CR,VER;4;4;3
1762292;https://bugzilla.mozilla.org/show_bug.cgi?id=1762292;POTENTIAL_SOLUTION_DESIGN,CODE_IMPLEMENTATION,CODE_REVIEW,SOLUTION_VERIFICATION,CODE_REVIEW_REQUEST,CODE_REVIEW,SOLUTION_VERIFICATION;POT_SOL_DES,COD_IMP,COD_REV,SOL_VER,COD_REV_REQ,COD_REV,SOL_VER;POT_SOL_DES,COD_IMP,COD_REV,SOL_VER,COD_REV,SOL_VER;SOL_DES,IMPL,CR,VER,CR,VER;7;7;6
1762088;https://bugzilla.mozilla.org/show_bug.cgi?id=1762088;CODE_IMPLEMENTATION,POTENTIAL_SOLUTION_DESIGN,CODE_REVIEW,CODE_IMPLEMENTATION,CODE_REVIEW;COD_IMP,POT_SOL_DES,COD_REV,COD_IMP,COD_REV;COD_IMP,POT_SOL_DES,COD_REV,COD_IMP,COD_REV;IMPL,SOL_DES,CR,IMPL,CR;5;5;5
1761994;https://bugzilla.mozilla.org/show_bug.cgi?id=1761994;POTENTIAL_SOLUTION_DESIGN,CODE_IMPLEMENTATION,CODE_REVIEW;POT_SOL_DES,COD_IMP,COD_REV;POT_SOL_DES,COD_IMP,COD_REV;SOL_DES,IMPL,CR;3;3;3
